id,class_room_id,dayoftheWeek,from,to
721,126,wed,16:30,17:45
722,41,fri,10:30,13:15
723,39,wed,15:00,16:15
724,39,fri,15:00,16:15
725,41,tue,10:30,11:45
726,41,thu,10:30,11:45
727,42,tue,13:30,14:45
728,42,thu,13:30,14:45
729,39,tue,15:00,16:15
730,39,thu,15:00,16:15
731,43,tue,12:00,13:15
732,43,thu,12:00,13:15
733,134,tue,13:30,14:45
734,134,thu,13:30,14:45
735,42,fri,10:30,13:15
736,41,mon,15:00,16:15
737,41,wed,16:30,17:45
738,43,tue,13:30,14:45
739,43,thu,13:30,14:45
740,41,tue,12:00,13:15
741,41,thu,12:00,13:15
742,41,wed,13:30,14:45
743,41,fri,13:30,14:45
744,40,tue,10:30,11:45
745,40,thu,10:30,11:45
746,40,mon,10:30,11:45
747,40,wed,12:00,13:15
748,42,tue,16:30,17:45
749,42,thu,16:30,17:45
750,41,wed,15:00,16:15
751,41,fri,15:00,16:15
752,42,tue,10:30,11:45
753,42,thu,10:30,11:45
754,129,tue,10:30,11:45
755,129,thu,10:30,11:45
756,42,wed,13:30,16:15
757,40,thu,13:30,16:15
758,44,thu,13:30,16:15
759,40,wed,13:30,14:45
760,40,fri,13:30,14:45
761,40,tue,13:30,16:15
762,40,wed,15:00,16:15
763,40,fri,15:00,16:15
764,39,mon,15:00,16:15
765,39,wed,16:30,17:45
766,125,tue,13:30,14:45
767,125,thu,13:30,14:45
768,44,wed,18:00,19:15
769,44,fri,18:00,19:15
770,109,thu,13:30,16:15
771,41,tue,13:30,14:45
772,41,thu,13:30,14:45
773,42,mon,15:00,16:15
774,42,wed,16:30,17:45
775,1,tue,10:30,13:15
776,75,tue,12:00,13:15
777,75,thu,12:00,13:15
778,75,tue,13:30,14:45
779,75,thu,13:30,14:45
780,51,fri,17:00,19:45
781,55,wed,16:30,19:15
782,3,wed,13:30,14:45
783,3,fri,13:30,14:45
784,3,tue,13:30,14:45
785,3,thu,13:30,14:45
786,3,mon,12:00,13:15
787,3,fri,10:30,11:45
788,3,tue,09:00,10:15
789,3,thu,09:00,10:15
790,160,wed,10:30,11:45
791,154,mon,15:00,18:50
792,154,tue,15:00,18:50
793,154,wed,15:00,18:50
794,154,thu,15:00,18:50
795,154,fri,15:00,18:50
796,101,tue,12:00,13:15
797,101,thu,12:00,13:15
798,151,wed,13:30,14:45
799,151,fri,13:30,14:45
800,4,mon,09:00,10:15
801,4,wed,10:30,11:45
802,5,tue,10:30,11:45
803,5,thu,10:30,11:45
804,3,mon,10:30,11:45
805,3,wed,12:00,13:15
806,11,mon,09:00,10:15
807,11,wed,10:30,11:45
808,13,wed,09:00,10:15
809,13,fri,09:00,10:15
810,13,mon,10:30,11:45
811,13,wed,12:00,13:15
812,151,mon,12:00,13:15
813,151,fri,10:30,11:45
814,4,wed,13:30,14:45
815,4,fri,13:30,14:45
816,12,mon,13:30,14:45
817,12,fri,12:00,13:15
818,4,tue,13:30,14:45
819,4,thu,13:30,14:45
820,151,tue,13:30,14:45
821,151,thu,13:30,14:45
